ID,What is your age range?,What is your gender?,What is your education level?,What is your employment status?,What is your occupation? (optional),How often do you use technological devices?,How much knowledge do you have about artificial intelligence (AI) technologies?,Do you generally trust artificial intelligence (AI)?,Do you think artificial intelligence (AI) will be generally beneficial or harmful to humanity?,Please rate how actively you use AI-powered products in your daily life on a scale from 1 to 5.,Would you like to use more AI products in the future?,I think artificial intelligence (AI) could threaten individual freedoms.,Could artificial intelligence (AI) completely eliminate some professions?,Do you think your own job could be affected by artificial intelligence (AI)?,Do you believe that artificial intelligence (AI) should be limited by ethical rules?,Could artificial intelligence (AI) one day become conscious like humans?,Which of the following do you think is NOT an artificial intelligence (AI) application?,Which of the following is a machine learning algorithm used in the field of artificial intelligence?,The artificial intelligence application called 'ChatGPT' is an example of which type of AI system?,device_hours_score,knowledge_score,trust_score,beneficial_score,ai_usage_score,future_intent_score,threat_freedoms_score,job_elimination_score,personal_job_threat_score,ethical_constraints_score,consciousness_score,q1_correct,q2_correct,q3_correct,device_hours_normalized,tech_comfort_level,ai_literacy_score,trust_index,anxiety_index,trust_anxiety_gap,trust_anxiety_balance,attitude_category,indifference_rate,knowledge_confidence_gap,literacy_perception_gap,self_awareness_category,response_consistency_score
159,18-24,Male,Bachelor's degree,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Definitely beneficial,1,I would like to,Strongly disagree,Can't handle it,Think,I disagree,Can't,I do not know,Excel,Web browser,3.5,5.0,7.5,10.0,2.0,7.5,0.0,2.5,7.5,2.5,2.5,0,0,0,2.916666666666667,2.458333333333333,0.0,8.333333333333334,3.125,5.208333333333334,7.604166666666667,Optimist,7.6923076923076925,2.5,5.0,Overconfident,10.0
160,35-44,Female,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,I'm undecided,Removes,I'm undecided,Agree,Can't,WhatsApp,Game algorithm,Web browser,3.5,5.0,5.0,5.0,6.0,7.5,5.0,7.5,5.0,7.5,2.5,1,0,0,2.916666666666667,4.458333333333334,3.333333333333333,5.833333333333333,5.0,0.833333333333333,5.416666666666666,Moderate,0.0,0.0,1.666666666666667,Realistic,10.0
161,45 years and older,Female,High school,Retired,Housewife,Between 0 to 2 hours per day,I have basic knowledge,I fully trust it,More harmful than beneficial,3,I'm undecided,I'm undecided,I have no idea,I'm undecided,I'm undecided,Becomes,I do not know,I do not know,I do not know,1.0,5.0,10.0,2.5,6.0,5.0,5.0,5.0,5.0,5.0,7.5,0,0,0,0.8333333333333333,3.4166666666666665,0.0,5.833333333333333,5.625,0.208333333333333,5.104166666666666,Moderate,30.76923076923077,5.0,5.0,Overconfident,8.5
162,25-34,Male,Associate degree,Employed,Not specified,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,1,I would like to,I'm undecided,Definitely Removes,I'm undecided,Strongly Agree,Becomes,Netflix recommendations,I do not know,Web browser,3.5,2.5,5.0,5.0,2.0,7.5,5.0,10.0,5.0,10.0,7.5,0,0,0,2.916666666666667,2.458333333333333,0.0,5.833333333333333,6.875,-1.041666666666667,4.479166666666666,Moderate,7.6923076923076925,2.5,2.5,Overconfident,10.0
163,18-24,Female,High school,Student,Student,Between 5 to 10 hours per day,I have a good level of knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,I'm undecided,Definitely Removes,Think,Strongly Agree,Becomes,WhatsApp,Linear regression,Natural language processing,7.5,7.5,5.0,5.0,6.0,7.5,5.0,10.0,7.5,10.0,7.5,1,1,1,6.25,6.125,10.0,5.833333333333333,7.5,-1.666666666666667,4.166666666666666,Moderate,0.0,-2.5,-2.5,Underconfident,10.0
164,Under 18 years old,Female,High school,Student,Student,Between 2 to 5 hours per day,I have a good level of knowledge,I'm undecided,Both beneficial and harmful,4,I'm undecided,Agree,Removes,I'm undecided,I disagree,Becomes,WhatsApp,Linear regression,Web browser,3.5,7.5,5.0,5.0,8.0,5.0,7.5,7.5,5.0,2.5,7.5,1,1,0,2.916666666666667,5.458333333333334,6.666666666666666,5.0,6.875,-1.875,4.0625,Moderate,0.0,-2.5,0.8333333333333339,Realistic,10.0
165,18-24,Female,Associate degree,Unemployed,Intern,Between 2 to 5 hours per day,I have a good level of knowledge,I'm undecided,More beneficial than harmful,3,I would like to,I disagree,Removes,Think,Agree,I'm undecided,WhatsApp,I do not know,I do not know,3.5,7.5,5.0,7.5,6.0,7.5,2.5,7.5,7.5,7.5,5.0,1,0,0,2.916666666666667,4.458333333333334,3.333333333333333,6.666666666666667,5.625,1.041666666666667,5.520833333333334,Moderate,15.384615384615383,-2.5,4.166666666666667,Overconfident,10.0
166,Under 18 years old,Female,High school,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,4,I would like to,I'm undecided,Absolutely Can't handle it,I don't think so,I disagree,Becomes,I do not know,Game algorithm,Web browser,3.5,5.0,5.0,5.0,8.0,7.5,5.0,0.0,2.5,2.5,7.5,0,0,0,2.916666666666667,5.458333333333334,0.0,5.833333333333333,3.75,2.083333333333333,6.041666666666666,Moderate,7.6923076923076925,0.0,5.0,Overconfident,10.0
167,Under 18 years old,Female,High school,Student,Student,Between 5 to 10 hours per day,I have a good level of knowledge,I'm undecided,Both beneficial and harmful,2,I would like to,Agree,Removes,I'm undecided,I'm undecided,I'm undecided,WhatsApp,HTML,Web browser,7.5,7.5,5.0,5.0,4.0,7.5,7.5,7.5,5.0,5.0,5.0,1,0,0,6.25,5.125,3.333333333333333,5.833333333333333,6.25,-0.4166666666666669,4.791666666666666,Moderate,0.0,-2.5,4.166666666666667,Overconfident,10.0
168,Under 18 years old,Male,High school,Student,Student,I never use it,I've heard a little about it,I don't trust it at all,Definitely harmful,1,"Definitely, I would not like to",Agree,Removes,Definitely I don't think so,Strongly Agree,I'm undecided,Netflix recommendations,I do not know,Natural language processing,0.0,2.5,0.0,0.0,2.0,0.0,7.5,7.5,0.0,10.0,5.0,0,0,1,0.0,1.0,3.333333333333333,0.0,5.0,-5.0,2.5,Moderate,7.6923076923076925,-2.5,-0.833333333333333,Realistic,10.0
169,Under 18 years old,Male,High school,Student,Student,Between 2 to 5 hours per day,I have a good level of knowledge,I'm undecided,Both beneficial and harmful,2,I'm undecided,I'm undecided,Removes,Definitely I don't think so,I disagree,Becomes,WhatsApp,Game algorithm,Web browser,3.5,7.5,5.0,5.0,4.0,5.0,5.0,7.5,0.0,2.5,7.5,1,0,0,2.916666666666667,3.458333333333333,3.333333333333333,5.0,5.0,0.0,5.0,Moderate,0.0,-2.5,4.166666666666667,Overconfident,10.0
170,Under 18 years old,Female,High school,Student,Student,Between 5 to 10 hours per day,I have a good level of knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,Agree,Can't handle it,I'm undecided,I'm undecided,Can't,WhatsApp,I do not know,Oyun geliþtirme,7.5,7.5,5.0,5.0,6.0,7.5,7.5,2.5,5.0,5.0,2.5,1,0,0,6.25,6.125,3.333333333333333,5.833333333333333,4.375,1.458333333333333,5.729166666666666,Moderate,7.6923076923076925,-2.5,4.166666666666667,Overconfident,10.0
171,Under 18 years old,Female,High school,Student,Student,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,2,I would not like to,Strongly Agree,Definitely Removes,Think,Strongly Agree,Becomes,Netflix recommendations,Excel,Web browser,3.5,2.5,5.0,5.0,4.0,2.5,10.0,10.0,7.5,10.0,7.5,0,0,0,2.916666666666667,3.458333333333333,0.0,4.166666666666667,8.75,-4.583333333333333,2.708333333333333,Moderate,0.0,2.5,2.5,Overconfident,10.0
172,Under 18 years old,Female,High school,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I'm undecided,I'm undecided,I have no idea,Think,I'm undecided,I'm undecided,I do not know,I do not know,I do not know,3.5,5.0,5.0,5.0,6.0,5.0,5.0,5.0,7.5,5.0,5.0,0,0,0,2.916666666666667,4.458333333333334,0.0,5.0,5.625,-0.625,4.6875,Moderate,30.76923076923077,0.0,5.0,Overconfident,10.0
173,Under 18 years old,Female,High school,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,3,I would like to,I'm undecided,Removes,Think,Agree,Can't,Netflix recommendations,Game algorithm,Natural language processing,3.5,5.0,5.0,5.0,6.0,7.5,5.0,7.5,7.5,7.5,2.5,0,0,1,2.916666666666667,4.458333333333334,3.333333333333333,5.833333333333333,5.625,0.208333333333333,5.104166666666666,Moderate,0.0,0.0,1.666666666666667,Realistic,10.0
174,35-44,Female,Master's degree or higher,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,1,I would like to,Agree,Removes,Think,Strongly Agree,I'm undecided,WhatsApp,Linear regression,Web browser,3.5,5.0,5.0,5.0,2.0,7.5,7.5,7.5,7.5,10.0,5.0,1,1,0,2.916666666666667,2.458333333333333,6.666666666666666,5.833333333333333,6.875,-1.041666666666667,4.479166666666666,Moderate,0.0,0.0,-1.666666666666666,Realistic,10.0
175,Under 18 years old,Male,High school,Student,Student,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,More harmful than beneficial,3,I'm undecided,I disagree,I have no idea,I'm undecided,Agree,Can't,WhatsApp,Linear regression,Web browser,1.0,5.0,5.0,2.5,6.0,5.0,2.5,5.0,5.0,7.5,2.5,1,1,0,0.8333333333333333,3.4166666666666665,6.666666666666666,4.166666666666667,3.75,0.4166666666666669,5.208333333333334,Moderate,7.6923076923076925,0.0,-1.666666666666666,Realistic,10.0
176,35-44,Male,Bachelor's degree,Employed,Teacher,Between 5 to 10 hours per day,I have a good level of knowledge,I trust it,Both beneficial and harmful,3,I would like to,Agree,Definitely Removes,I definitely think,Strongly Agree,Becomes,Netflix recommendations,Game algorithm,Natural language processing,7.5,7.5,7.5,5.0,6.0,7.5,7.5,10.0,10.0,10.0,7.5,0,0,1,6.25,6.125,3.333333333333333,6.666666666666667,8.75,-2.083333333333333,3.9583333333333335,Cautious,0.0,0.0,4.166666666666667,Overconfident,8.5
177,Under 18 years old,Female,High school,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,4,I would like to,Agree,Can't handle it,Think,Agree,Becomes,WhatsApp,HTML,Web browser,3.5,5.0,5.0,5.0,8.0,7.5,7.5,2.5,7.5,7.5,7.5,1,0,0,2.916666666666667,5.458333333333334,3.333333333333333,5.833333333333333,6.25,-0.4166666666666669,4.791666666666666,Moderate,0.0,0.0,1.666666666666667,Realistic,10.0
178,Under 18 years old,Female,High school,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,4,"Definitely, I would like to",Agree,Removes,I'm undecided,I'm undecided,Becomes,Netflix recommendations,I do not know,I do not know,3.5,5.0,7.5,5.0,8.0,10.0,7.5,7.5,5.0,5.0,7.5,0,0,0,2.916666666666667,5.458333333333334,0.0,7.5,6.875,0.625,5.3125,Cautious,15.384615384615383,2.5,5.0,Overconfident,10.0
179,35-44,Female,High school,Unemployed,Housewife,Between 5 to 10 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,3,I'm undecided,I'm undecided,Removes,I don't think so,I'm undecided,Becomes,WhatsApp,I do not know,Image processing,7.5,2.5,5.0,5.0,6.0,5.0,5.0,7.5,2.5,5.0,7.5,1,0,0,6.25,6.125,3.333333333333333,5.0,5.625,-0.625,4.6875,Moderate,7.6923076923076925,2.5,-0.833333333333333,Realistic,10.0
180,Under 18 years old,Female,High school,Student,Student,Between 5 to 10 hours per day,I have basic knowledge,I'm undecided,More harmful than beneficial,1,I'm undecided,Agree,Removes,Think,I'm undecided,Can't,WhatsApp,HTML,Image processing,7.5,5.0,5.0,2.5,2.0,5.0,7.5,7.5,7.5,5.0,2.5,1,0,0,6.25,4.125,3.333333333333333,4.166666666666667,6.25,-2.083333333333333,3.9583333333333335,Moderate,0.0,0.0,1.666666666666667,Realistic,10.0
181,18-24,Female,High school,Student,Student,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,3,I would like to,I'm undecided,Removes,I'm undecided,Agree,I'm undecided,WhatsApp,Excel,Web browser,3.5,2.5,5.0,5.0,6.0,7.5,5.0,7.5,5.0,7.5,5.0,1,0,0,2.916666666666667,4.458333333333334,3.333333333333333,5.833333333333333,5.625,0.208333333333333,5.104166666666666,Moderate,0.0,2.5,-0.833333333333333,Realistic,10.0
182,Under 18 years old,Female,High school,Student,Student,Between 0 to 2 hours per day,I have basic knowledge,I'm undecided,More harmful than beneficial,3,I'm undecided,I'm undecided,Removes,Think,I disagree,Definitely Becomes,Netflix recommendations,Excel,Web browser,1.0,5.0,5.0,2.5,6.0,5.0,5.0,7.5,7.5,2.5,10.0,0,0,0,0.8333333333333333,3.4166666666666665,0.0,4.166666666666667,7.5,-3.333333333333333,3.333333333333333,Moderate,0.0,0.0,5.0,Overconfident,10.0
183,35-44,Male,Master's degree or higher,Employed,Teacher,More than 10 hours per day,I have basic knowledge,I don't trust it at all,More harmful than beneficial,2,I'm undecided,Agree,Removes,Think,Strongly Agree,Definitely Becomes,WhatsApp,Game algorithm,Web browser,10.0,5.0,0.0,2.5,4.0,5.0,7.5,7.5,7.5,10.0,10.0,1,0,0,10.0,7.0,3.333333333333333,2.5,8.125,-5.625,2.1875,Resister,0.0,-5.0,1.666666666666667,Realistic,10.0
184,35-44,Male,Bachelor's degree,Employed,Trades,Between 2 to 5 hours per day,I've heard a little about it,I don't trust it,Both beneficial and harmful,1,I'm undecided,Agree,Removes,Think,Strongly Agree,Becomes,WhatsApp,I do not know,I do not know,3.5,2.5,2.5,5.0,2.0,5.0,7.5,7.5,7.5,10.0,7.5,1,0,0,2.916666666666667,2.458333333333333,3.333333333333333,4.166666666666667,7.5,-3.333333333333333,3.333333333333333,Moderate,15.384615384615383,0.0,-0.833333333333333,Realistic,10.0
185,Under 18 years old,Female,High school,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,3,I would like to,I disagree,Can't handle it,Think,Agree,Definitely Becomes,WhatsApp,I do not know,Natural language processing,3.5,5.0,7.5,5.0,6.0,7.5,2.5,2.5,7.5,7.5,10.0,1,0,1,2.916666666666667,4.458333333333334,6.666666666666666,6.666666666666667,5.625,1.041666666666667,5.520833333333334,Moderate,7.6923076923076925,2.5,-1.666666666666666,Realistic,10.0
186,Under 18 years old,Female,High school,Student,Student,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,2,I would like to,Agree,Removes,I'm undecided,Agree,Becomes,WhatsApp,Linear regression,Web browser,3.5,2.5,5.0,5.0,4.0,7.5,7.5,7.5,5.0,7.5,7.5,1,1,0,2.916666666666667,3.458333333333333,6.666666666666666,5.833333333333333,6.875,-1.041666666666667,4.479166666666666,Moderate,0.0,2.5,-4.166666666666666,Underconfident,10.0
187,Under 18 years old,Female,High school,Student,Student,More than 10 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,3,I'm undecided,Agree,Removes,Definitely I don't think so,Strongly Agree,Becomes,I do not know,I do not know,Web browser,10.0,2.5,5.0,5.0,6.0,5.0,7.5,7.5,0.0,10.0,7.5,0,0,0,10.0,8.0,0.0,5.0,5.625,-0.625,4.6875,Moderate,15.384615384615383,2.5,2.5,Overconfident,10.0
188,45 years and older,Female,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Definitely beneficial,2,I would like to,I'm undecided,Removes,I don't think so,Agree,Can't,Netflix recommendations,I do not know,Web browser,3.5,5.0,7.5,10.0,4.0,7.5,5.0,7.5,2.5,7.5,2.5,0,0,0,2.916666666666667,3.458333333333333,0.0,8.333333333333334,4.375,3.958333333333334,6.979166666666667,Moderate,7.6923076923076925,2.5,5.0,Overconfident,10.0
189,Under 18 years old,Female,High school,Student,Student,Between 0 to 2 hours per day,I have no knowledge,I don't trust it,Both beneficial and harmful,1,I would not like to,I'm undecided,Definitely Removes,I'm undecided,Agree,Becomes,WhatsApp,HTML,Web browser,1.0,0.0,2.5,5.0,2.0,2.5,5.0,10.0,5.0,7.5,7.5,1,0,0,0.8333333333333333,1.4166666666666663,3.333333333333333,3.333333333333333,6.875,-3.5416666666666665,3.229166666666667,Resister,7.6923076923076925,2.5,-3.333333333333333,Underconfident,10.0
190,Under 18 years old,Female,High school,Student,Student,Between 0 to 2 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,3,I would not like to,Strongly Agree,Removes,I'm undecided,Strongly Agree,Becomes,WhatsApp,I do not know,Web browser,1.0,2.5,5.0,5.0,6.0,2.5,10.0,7.5,5.0,10.0,7.5,1,0,0,0.8333333333333333,3.4166666666666665,3.333333333333333,4.166666666666667,7.5,-3.333333333333333,3.333333333333333,Moderate,7.6923076923076925,2.5,-0.833333333333333,Realistic,10.0
191,Under 18 years old,Female,High school,Student,Student,Between 0 to 2 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,1,"Definitely, I would like to",I disagree,Removes,Definitely I don't think so,Strongly Agree,Definitely Becomes,Netflix recommendations,HTML,Web browser,1.0,2.5,5.0,5.0,2.0,10.0,2.5,7.5,0.0,10.0,10.0,0,0,0,0.8333333333333333,1.4166666666666663,0.0,6.666666666666667,5.0,1.666666666666667,5.833333333333334,Moderate,0.0,2.5,2.5,Overconfident,10.0
192,25-34,Male,Bachelor's degree,Employed,Manager,Between 5 to 10 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,1,I would not like to,Agree,Can't handle it,Definitely I don't think so,Agree,Can't,WhatsApp,Linear regression,Web browser,7.5,5.0,2.5,5.0,2.0,2.5,7.5,2.5,0.0,7.5,2.5,1,1,0,6.25,4.125,6.666666666666666,3.333333333333333,3.125,0.2083333333333334,5.104166666666667,Indifferent,0.0,-2.5,-1.666666666666666,Realistic,10.0
193,Under 18 years old,Female,High school,Student,Student,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,3,I would not like to,Agree,Removes,I don't think so,Agree,Can't,Netflix recommendations,I do not know,Web browser,3.5,2.5,5.0,5.0,6.0,2.5,7.5,7.5,2.5,7.5,2.5,0,0,0,2.916666666666667,4.458333333333334,0.0,4.166666666666667,5.0,-0.833333333333333,4.583333333333334,Moderate,7.6923076923076925,2.5,2.5,Overconfident,10.0
194,Under 18 years old,Female,High school,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I'm undecided,I disagree,Removes,Think,Agree,Can't,I do not know,I do not know,Natural language processing,3.5,5.0,5.0,5.0,4.0,5.0,2.5,7.5,7.5,7.5,2.5,0,0,1,2.916666666666667,3.458333333333333,3.333333333333333,5.0,5.0,0.0,5.0,Moderate,15.384615384615383,0.0,1.666666666666667,Realistic,10.0
195,18-24,Female,Bachelor's degree,Student,engineer,Between 5 to 10 hours per day,I've heard a little about it,I don't trust it,Both beneficial and harmful,3,I'm undecided,Agree,Definitely Removes,Think,Strongly Agree,Definitely Becomes,WhatsApp,I do not know,I do not know,7.5,2.5,2.5,5.0,6.0,5.0,7.5,10.0,7.5,10.0,10.0,1,0,0,6.25,6.125,3.333333333333333,4.166666666666667,8.75,-4.583333333333333,2.708333333333333,Moderate,15.384615384615383,0.0,-0.833333333333333,Realistic,10.0
196,35-44,Female,High school,Unemployed,Unemployed,Between 2 to 5 hours per day,I have basic knowledge,I'm undecided,Both beneficial and harmful,2,I'm undecided,I'm undecided,I have no idea,I'm undecided,I'm undecided,I'm undecided,Netflix recommendations,I do not know,Natural language processing,3.5,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,1,2.916666666666667,3.458333333333333,3.333333333333333,5.0,5.0,0.0,5.0,Moderate,15.384615384615383,0.0,1.666666666666667,Realistic,10.0
197,45 years and older,Female,High school,Retired,Retired,Between 0 to 2 hours per day,I've heard a little about it,I'm undecided,More harmful than beneficial,1,I'm undecided,I'm undecided,I have no idea,I'm undecided,I'm undecided,I'm undecided,WhatsApp,I do not know,I do not know,1.0,2.5,5.0,2.5,2.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0,0,0.8333333333333333,1.4166666666666663,3.333333333333333,4.166666666666667,5.0,-0.833333333333333,4.583333333333334,Moderate,23.07692307692308,2.5,-0.833333333333333,Realistic,10.0
198,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I've heard a little about it,I'm undecided,Both beneficial and harmful,1,I would like to,Agree,Absolutely Can't handle it,Think,Agree,It certainly can't be,WhatsApp,HTML,I do not know,3.5,2.5,5.0,5.0,2.0,7.5,7.5,0.0,7.5,7.5,0.0,1,0,0,2.916666666666667,2.458333333333333,3.333333333333333,5.833333333333333,3.75,2.083333333333333,6.041666666666666,Moderate,7.6923076923076925,2.5,-0.833333333333333,Realistic,10.0
199,18-24,Female,High school,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I fully trust it,Definitely beneficial,4,"Definitely, I would like to",Strongly disagree,Removes,Think,Agree,Can't,WhatsApp,Excel,Web browser,3.5,5.0,10.0,10.0,8.0,10.0,0.0,7.5,7.5,7.5,2.5,1,0,0,2.916666666666667,5.458333333333334,3.333333333333333,10.0,4.375,5.625,7.8125,Moderate,0.0,5.0,1.666666666666667,Realistic,10.0
200,Under 18 years old,Female,High school,Student,Student,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,3,I would like to,I'm undecided,Removes,Think,I'm undecided,I'm undecided,WhatsApp,I do not know,Web browser,3.5,5.0,7.5,5.0,6.0,7.5,5.0,7.5,7.5,5.0,5.0,1,0,0,2.916666666666667,4.458333333333334,3.333333333333333,6.666666666666667,6.25,0.4166666666666669,5.208333333333334,Cautious,7.6923076923076925,2.5,1.666666666666667,Realistic,10.0
201,Under 18 years old,Female,High school,Student,Student,Between 0 to 2 hours per day,I have basic knowledge,I trust it,More beneficial than harmful,4,I would like to,I'm undecided,Removes,I don't think so,Strongly Agree,Can't,Netflix recommendations,Excel,Web browser,1.0,5.0,7.5,7.5,8.0,7.5,5.0,7.5,2.5,10.0,2.5,0,0,0,0.8333333333333333,4.416666666666667,0.0,7.5,4.375,3.125,6.5625,Moderate,0.0,2.5,5.0,Overconfident,10.0
202,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 5 to 10 hours per day,I have basic knowledge,I don't trust it,Both beneficial and harmful,1,I would like to,Strongly Agree,Removes,Think,Strongly Agree,I'm undecided,WhatsApp,Linear regression,Natural language processing,7.5,5.0,2.5,5.0,2.0,7.5,10.0,7.5,7.5,10.0,5.0,1,1,1,6.25,4.125,10.0,5.0,7.5,-2.5,3.75,Moderate,0.0,-2.5,-5.0,Underconfident,10.0
203,45 years and older,Male,Bachelor's degree,Employed,Teacher,Between 2 to 5 hours per day,I have basic knowledge,I trust it,Both beneficial and harmful,4,I would like to,Agree,Removes,Think,Strongly Agree,It certainly can't be,WhatsApp,Linear regression,Web browser,3.5,5.0,7.5,5.0,8.0,7.5,7.5,7.5,7.5,10.0,0.0,1,1,0,2.916666666666667,5.458333333333334,6.666666666666666,6.666666666666667,5.625,1.041666666666667,5.520833333333334,Moderate,0.0,2.5,-1.666666666666666,Realistic,10.0
204,25-34,Male,Master's degree or higher,Employed,engineer,More than 10 hours per day,I have an expert-level knowledge,I trust it,Definitely beneficial,5,"Definitely, I would like to",Strongly disagree,Removes,I definitely think,Agree,Can't,WhatsApp,Linear regression,Natural language processing,10.0,10.0,7.5,10.0,10.0,10.0,0.0,7.5,10.0,7.5,2.5,1,1,1,10.0,10.0,10.0,9.166666666666666,5.0,4.166666666666666,7.083333333333333,Moderate,0.0,-2.5,0.0,Realistic,10.0
205,Under 18 years old,Female,Primary education,Student,Student,Between 0 to 2 hours per day,I have a good level of knowledge,I don't trust it at all,Both beneficial and harmful,2,I'm undecided,I'm undecided,I have no idea,I'm undecided,I'm undecided,Can't,Netflix recommendations,Excel,Web browser,1.0,7.5,0.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.5,0,0,0,0.8333333333333333,2.4166666666666665,0.0,3.333333333333333,4.375,-1.0416666666666663,4.479166666666667,Moderate,7.6923076923076925,-7.5,7.5,Dunning-Kruger,10.0
